	past simple	imprf. comp.	gerund	compound gerund	jussive/imperative	n. past simple	n. imperfective	n. imperative/jussive
	አከማችሁ	ታክማላችሁ	አክማችሁ	አክማችኋል	አከሙ	አላከማችሁም	አታክሙም	አታከሙ
	አከሙ	ያክማሉ	አክመው	አክመዋል	ያከሙ	አላከሙም	አያክሙም	አያከሙ
	makkäm							
	akkämku	akkəmallähu	akkəmme	akkəmmeyallähu	lakkəm	alakkämkumm	alakkəməmm	alakkəm
	akkämk	takkəmalläh	akkəmäh	akkəmähall	akkəm	alakkämkəmm	atakkəməmm	attakkəm
	akkämš	takkəmiyalläš	akkəmäš	akkəmäšall	akkəmi	alakkämšəmm	atakkəmimm	attakkəmi
	akkämä	yakkəmall	akkəmo	akkəmwall	yakkəm	alakkämämm	ayakkəməmm	ayakkəm
	akkämäčč	takkəmalläčč	akkəma	akkəmalläčč	takkəm	alakkämäččəmm	atakkəməmm	attakkəm
	akkämn	ənnakkəmallän	akkəmän	akkəmänall	ənnakkəm	alakkämnəmm	anakkəməmm	annakkəm
	akkämaččəhu	takkəmallaččəhu	akkəmaččəhu	akkəmaččhwall	akkəm	alakkämaččəhumm	atakkəmumm	attakkəmu
	akkämu	yakkəmallu	akkəmäw	akkəmäwall	yakkəm	alakkämumm	ayakkəmumm	ayakkəmu
አወጀ - proclaim	ማወጅ							
	አወጅኩ	አውጃለሁ	አውጄ	አውጄያለሁ	ላወጅ	አላወጅኩም	አላውጅም	አላወጅ
	አወጅክ	ታውጃለህ	አውጀህ	አውጀሃል	አወጅ	አላወጅክም	አታውጅም	አታወጅ
	አወጅሽ	ታውጂያለሽ	አውጀሽ	አውጀሻል	አወጂ	አላወጅሽም	አታውጂም	አታወጂ
	አወጀ	ያውጃል	አውጆ	አውጇል	ያወጅ	አላወጀም	አያውጅም	አያወጅ
	አወጀች	ታውጃለች	አውጃ	አውጃለች	ታወጅ	አላወጀችም	አታውጅም	አታወጅ
	አወጅን	እናውጃለን	አውጀን	አውጀናል	እናወጅ	አላወጅንም	አናውጅም	አናወጅ
	አወጃችሁ	ታውጃላችሁ	አውጃችሁ	አውጃችኋል	አወጁ	አላወጃችሁም	አታውጁም	አታወጁ
	አወጁ	ያውጃሉ	አውጀው	አውጀዋል	ያወጁ	አላወጁም	አያውጁም	አያወጁ
	mawwäǧ							
	awwäǧku	awwəǧallähu	awwəǧǧe	awwəǧǧeyallähu	lawwəǧ	alawwäǧkumm	alawwəǧəmm	alawwəǧ
	awwäǧk	tawwəǧalläh	awwəǧäh	awwəǧähall	awwəǧ	alawwäǧkəmm	atawwəǧəmm	attawwəǧ
	awwäǧš	tawwəǧiyalläš	awwəǧäš	awwəǧäšall	awwəǧi	alawwäǧšəmm	atawwəǧimm	attawwəǧi
	awwäǧä	yawwəǧall	awwəǧo	awwəǧwall	yawwəǧ	alawwäǧämm	ayawwəǧəmm	ayawwəǧ
	awwäǧäčč	tawwəǧalläčč	awwəǧa	awwəǧalläčč	tawwəǧ	alawwäǧäččəmm	atawwəǧəmm	attawwəǧ
	awwäǧn	ənnawwəǧallän	awwəǧän	awwəǧänall	ənnawwəǧ	alawwäǧnəmm	anawwəǧəmm	annawwəǧ
	awwäǧaččəhu	tawwəǧallaččəhu	awwəǧaččəhu	awwəǧaččhwall	awwəǧ	alawwäǧaččəhumm	atawwəǧumm	attawwəǧu
	awwäǧu	yawwəǧallu	awwəǧäw	awwəǧäwall	yawwəǧ	alawwäǧumm	ayawwəǧumm	ayawwəǧu
አደለ - distribute	ማደል							
	አደልኩ	አድላለሁ	አድዬ	አድዬያለሁ	ላደል	አላደልኩም	አላድልም	አላደል
	አደልክ	ታድላለህ	አድለህ	አድለሃል	አደል	አላደልክም	አታድልም	አታደል
	አደልሽ	ታድያለሽ	አድለሽ	አድለሻል	አደይ	አላደልሽም	አታድዪም	አታደይ
	አደለ	ያድላል	አድሎ	አድሏል	ያደል	አላደለም	አያድልም	አያደል
	አደለች	ታድላለች	አድላ	አድላለች	ታደል	አላደለችም	አታድልም	አታደል
	አደልን	እናድላለን	አድለን	አድለናል	እናደል	አላደልንም	አናድልም	አናደል
	አደላችሁ	ታድላላችሁ	አድላችሁ	አድላችኋል	አደሉ	አላደላችሁም	አታድሉም	አታደሉ
	አደሉ	ያድላሉ	አድለው	አድለዋል	ያደሉ	አላደሉም	አያድሉም	አያደሉ
	maddäl							
	addälku	addəlallähu	addəyye	addəyyeyallähu	laddəl	aladdälkumm	aladdələmm	aladdəl
	addälk	taddəlalläh	addəläh	addəlähall	addəl	aladdälkəmm	ataddələmm	attaddəl
	addälš	taddəyalläš	addəläš	addəläšall	addəyi	aladdälšəmm	ataddəyimm	attaddəyi
	addälä	yaddəlall	addəlo	addəlwall	yaddəl	aladdälämm	ayaddələmm	ayaddəl
	addäläčč	taddəlalläčč	addəla	addəlalläčč	taddəl	aladdäläččəmm	ataddələmm	attaddəl
	addäln	ənnaddəlallän	addəlän	addəlänall	ənnaddəl	aladdälnəmm	anaddələmm	annaddəl
	addälaččəhu	taddəlallaččəhu	addəlaččəhu	addəlaččhwall	addəl	aladdälaččəhumm	ataddəlumm	attaddəlu
	addälu	yaddəlallu	addəläw	addəläwall	yaddəl	aladdälumm	ayaddəlumm	ayaddəlu
አየደ - define, determine	ማየድ							
	አየድኩ	አይዳለሁ	አይጄ	አይጄያለሁ	ላየድ	አላየድኩም	አላይድም	አላየድ
	አየድክ	ታይዳለህ	አይደህ	አይደሃል	አየድ	አላየድክም	አታይድም	አታየድ
	አየድሽ	ታይጂያለሽ	አይደሽ	አይደሻል	አየጅ	አላየድሽም	አታይጂም	አታየጅ
	አየደ	ያይዳል	አይዶ	አይዷል	ያየድ	አላየደም	አያይድም	አያየድ
	አየደች	ታይዳለች	አይዳ	አይዳለች	ታየድ	አላየደችም	አታይድም	አታየድ
	አየድን	እናይዳለን	አይደን	አይደናል	እናየድ	አላየድንም	አናይድም	አናየድ
	አየዳችሁ	ታይዳላችሁ	አይዳችሁ	አይዳችኋል	አየዱ	አላየዳችሁም	አታይዱም	አታየዱ
	አየዱ	ያይዳሉ	አይደው	አይደዋል	ያየዱ	አላየዱም	አያይዱም	አያየዱ
	mayyäd							
	ayyädku	ayyədallähu	ayyəǧǧe	ayyəǧǧeyallähu	layyəd	alayyädkumm	alayyədəmm	alayyəd
	ayyädk	tayyədalläh	ayyədäh	ayyədähall	ayyəd	alayyädkəmm	atayyədəmm	attayyəd
	ayyädš	tayyəǧiyalläš	ayyədäš	ayyədäšall	ayyəǧi	alayyädšəmm	atayyəǧimm	attayyəǧi
	ayyädä	yayyədall	ayyədo	ayyədwall	yayyəd	alayyädämm	ayayyədəmm	ayayyəd
	ayyädäčč	tayyədalläčč	ayyəda	ayyədalläčč	tayyəd	alayyädäččəmm	atayyədəmm	attayyəd
	ayyädn	ənnayyədallän	ayyədän	ayyədänall	ənnayyəd	alayyädnəmm	anayyədəmm	annayyəd
